,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt
147,0x6a99dadc216a83adb0191c264a1774e82fd31aff,242824.02610471,180609.1386178,3793248487644,9300,9000,1.2503594558150648,125.09902182707931,105.03157104264548,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,242870.2924629896,180643.55089180716,0.00019053451596936754,0.0004187093285054223
152,0x43bc96bb72d075ab149795e1595f566f0d8aea7c,236705.80877479,168333.87885036,4470134904695,9300,9000,1.307736764957693,121.94701493724622,97.89300746719472,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,236750.9094014874,168365.95226374554,0.00019053451594981698,0.00041870932851891755
156,0x98c7a7ce88dfa0bfcc588e462d7713d3c03e6d9f,213343.82734468,125722.21012868,6628723448153,9300,9000,1.5781599705212974,109.91129890151842,73.11258636094249,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,213384.47670755922,125746.16454858183,0.0001905345159742998,0.00041870932854163814
158,0x44e569787ac2789867c775690a10307a3ce21839,210268.77912657,175799.28249095,1344261872296,9300,9000,1.112347910736079,108.32708365590058,102.23444378010521,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,210308.8425866196,175832.7783213731,0.0001905345159467627,0.0004187093285263257
159,0xd74c796a46c3541392747974a2843795e54402a4,209988.50699888,174278.86041663,1471079588236,9300,9000,1.120556509504954,108.18269197612403,101.35025641098342,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,210028.51705741583,174312.0665541751,0.00019053451594867196,0.0004187093285223139
161,0x8ce2f11c7dfae77db396405417f7fc6a5bf971f6,216622.52858773,173790.64889759,2116962683137,9300,9000,1.159204783827605,108.03662395451121,101.06634152584165,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,209744.9370372808,173823.76201398857,0.03174919799564542,0.0004187093285036306
162,0xf71b335a1d9449c381d867f4172fc1bb3d2bfb7b,205336.5378643,165356.91306196,1944597101591,9300,9000,1.1548533210839833,105.78607250793961,96.16178059745295,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,205375.6615621505,165388.41926062133,0.00019053451595818516,0.0004187093285080779
166,0x9ee4e45a01ec2995a45ee42ea9c973e59ea07460,196152.19162079,171866.02757827,467094488044,9300,9000,1.0614170861908871,101.05444545432884,99.9470958310937,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,196189.56538367912,171898.77398788786,0.00019053451598123112,0.0004187093285170364
169,0xe8e1c13aa9989edaf78fc5746c9329b775ffc659,192742.98976439,164250.95919958,921773158837,9300,9000,1.0913237971601346,99.29807964371153,95.51862337653397,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,192779.7139566531,164282.25467586674,0.00019053451597909624,0.00041870932853457765
171,0xfc72cb97e2e2d0834d4908fba298e7ff4fd1e465,182387.61630774,152482.2785042,1166657617277,9300,9000,1.1123947309164057,93.96315825696989,88.67465616648354,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,182422.36744393618,152511.33164065264,0.00019053451599219845,0.00041870932849568445
177,0x8210b20ead8401dad289e0059487a05f0fe37ab8,164371.88541581,126861.40846788,2107328840635,9300,9000,1.204983101503276,84.68174427074324,73.77507659931727,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,164403.20393344256,126885.57994438306,0.00019053451600529238,0.00041870932855807004
178,0x21795eb77d2bbd56a7704f048eb53676da96cf0f,158997.61662648,141061.72983613,203612512770,9300,9000,1.0482487605561517,81.9130076701411,82.03314191113763,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,159027.91116040456,141088.60696392553,0.0001905345159715025,0.0004187093285300804
197,0xe46848c0d9db1321eb44fc216ee1ee23f45eb162,120759.25439202,99746.80424534,893652470748,9300,9000,1.1259118267924533,62.21322017984535,58.006829757057325,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,120782.26319810205,99765.80945396711,0.00019053451594991562,0.00041870932852558815
198,0x5d89287d089888b8d69f78395c3feb8406818ffa,119814.9437995,84468.72087665,2336472854290,9300,9000,1.3191616562568598,61.72672659302909,49.12200194040121,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,119837.77268182323,84484.81508312792,0.00019053451597349095,0.00041870932856251164
201,0x296c300753335b73bb9cce5b15ec2267c01a6878,118399.93759356,88796.8799819,1776306385230,9300,9000,1.2400429157472062,60.997738217859705,51.63900276342554,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,118422.49686836213,88813.79885205682,0.00019053451598573302,0.00041870932853599113
203,0xdff7a9f35629b8be42ea975a0990241bb186e711,115819.41394797,54724.9894989,4951248305427,9300,9000,1.9682425882196846,59.65940160649596,31.824810562467356,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,115824.2175255777,54735.41649804491,4.147471865001173e-05,0.00041870932853121056
209,0x3d9c8f2daf3ff486166f9bf4a48ab9f919a1d000,108966.57858887,93719.11764573,435080308425,9300,9000,1.0813046540912155,56.13782380592524,54.50148446747415,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,108987.34048318146,93736.97437203664,0.00019053451599856833,0.0004187093285430937
219,0x4565d0dfeba4bbbbcf12601385d2853067072e05,96296.7748299,4016.03730337,8265106004354,9300,9000,22.299593810211963,49.610545256047,2.335489281258651,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,96315.12268928364,4016.802497079843,0.00019053451599036365,0.00041870932947606386
221,0x48810631f4208d388ef6bba5568e06ff466ec6cf,94660.7805369,79366.25855394,582844392927,9300,9000,1.1092185458067014,48.76770738266035,46.15471225593608,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,94678.81668290053,79381.38056524594,0.00019053451596573567,0.00041870932849499273
222,0x8f7746510b6cdb91ace7f6749fad2eda44da1171,93424.08450249,77631.26875623,645040729601,9300,9000,1.119193335099878,48.130581531961695,45.145745015460015,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,93441.8850152109,77646.06019210687,0.00019053451597285403,0.0004187093285540061
228,0x5189a35fede5406e7f1de64f41261ceaecf40500,89258.79840017,80075.06195985,25785660030,9300,9000,1.0366608589548383,45.9846933124604,46.566910308887046,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,89275.80528212101,80090.31902266954,0.00019053451598993696,0.000418709328531084
240,0xeb6296f2b61c9832d98bbab64f35fa157c96541e,85293.15804489,68089.18193665,784731667072,9245,8903,1.158091819723508,42.10721275931199,39.59663284231511,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,81747.9699544841,68102.15527568091,0.04156474178784734,0.00041870932863888994
244,0xc3f65560fbd23d86140d3a1cdfa00895ac96cbb1,78428.1105515,61116.29981732,946899967903,9300,9000,1.193431916377728,40.40489761675642,35.541617856399554,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,78443.05381286843,61127.9445816615,0.00019053450686690312,0.0004187093286418351
